respondent,influencers
112,"'Vivianne Castillo','Erika Hall','Jasmine Friedl','Tomer Sharon','Jeremy Bailey','Avrum Laurie','Liz Sanders','Pieter Jan Stappers'"
113,"'Anthony Ulwick','Indi Young'"
114,"'Indi Young','Warren Berger','Steve Portigal','Erika Hall','Dave Gray'"
116,"'Tomer Sharon','Erika Hall','Jennifer Cardello'"
117,"'Sam Ladner','Bob Lalasz','Philip Morgan','Alan Klement','Ari Zelmanow'"
118,"'Steve Portigal','Deborah Mayhew'"
120,"'Guy Hoffman','Shanee Honnig'"
121,"'Jared Spool','Steve Portigal','L. David Marquet'"
123,"'Cyd Harrell','Donna Lanclos','Steve Portigal','Jared Spool'"
124,"'Uday Gajendar','Sean Van Tyne','Jesse Zolna','Arin Bhowmick','Luke Morris','John Holleman','Aylin Uysal'"
126,"'Abby Covert','Dan Klyn','Karen Nakamura','Jan Chipchase','James Spradley','Steve Portigal'"
127,"'Karl Popper','David Deutsche','Stephen Vargo','Robert Lusch','Iain Baker','Nova Franklin ','John Kolko','Fritjof Capra'"
128,"'Leisa Reichelt','Teresa Torres','Jared Spool'"
129,'Abby Covert'
130,"'Rich Talarico','Warren Berger'"
131,"'Daniel Kahneman','Joi Ito','Gene Roddenberry','Mike Monteiro','Chris Nodder','Russell T. Davies','Margaret Atwood'"
132,"'Michel Foucault','Nancy Fraser','Steve Portigal','Gordan Pask','Jorge Arango','David C. Baker','Lina Patel'"
133,"'Walter R. Stahel','Ton Bastein','Greta Thunberg','Will McDowall','Yong Gene','Beijia Huang','Eva Bartekovaç','Raimund Bleischwitz','Serdar Tarkeli','Renae Kemp','Teresa Domanech'"
134,"'Stephen Vargo','Robert Lusch','Christian Granroos','Paivi Voima','John Cutler','Indi Young','Sam Ladner'"
137,"'Peter Merholz','Jane Austin','Erika Hall'"
139,"'Leisa Reichelt','Jan Chipchase','Steve Portigal','Indi Young'"
140,"'David Travis','Jeff Sauro','Molly Rempe','Emily Ryan'"
141,"'Angela Blackwell Glover','Raj Chetty','Steve Stoute'"
142,"'Janice Fraser','Mike Montiero','Indi Young','Dave Gray','Sunni Brown','James Macanufo','Henri Lipmanowicz','Keith McCandless'"
144,"'Ronald Langacker','George Lakoff','Barney Glaser','Anselm Strauss','Thomas Gruber','Nicola Guarino'"
145,"'Erika Hall','Kim Goodwin','Jared Spool','Steve Portigal','Steve Krug','Jan Chipchase','Sam Ladner','Tricia Wang','Vivianne Castillo'"
146,"'Maria Giudice','Katrina Alcorn','Elizabeth Sanders','Pieter Jan Stappers','Steve Krug','Indi Young'"
147,"'Dan Ariely','Nicholas Christakis','Brene Brown'"
148,"'Alan Cooper','Jan Chipchase','Jon Kolko','Roberta Tassi'"
149,"'Horst Willhelm','Jakob Rittel','Sherry Arnstein'"
